,price
1638,48.25668
1639,45.91261
1640,44.72237
1641,42.04562
1642,34.97407
1643,33.92342
1644,32.60427
1645,32.27085
1646,32.73368
1647,36.21619
1648,41.47466
1649,51.32684
1650,64.43558
1651,56.80883
1652,50.523
1653,46.71437
1654,42.27805
1655,38.84733
1656,44.31652
1657,43.01904
1658,43.40987
1659,41.89023
1660,43.62963
1661,47.0709
1662,52.70749
1663,43.69813
1664,39.72383
1665,35.70188
1666,32.86801
1667,31.85175
1668,28.10707
1669,28.93651
1670,29.77389
1671,32.08624
1672,35.6501
1673,48.43299
1674,60.88313
1675,55.65557
1676,47.44035
1677,47.38236
1678,42.80171
1679,40.46082
1680,44.58701
1681,41.08779
1682,40.65245
1683,40.94515
1684,43.53862
1685,45.74558
1686,52.78547
1687,42.86486
1688,39.12795
1689,34.89868
1690,32.71518
1691,30.91798
1692,25.66663
1693,24.80651
1694,25.61825
1695,28.91094
1696,35.21342
1697,47.23926
1698,58.47374
1699,51.09796
1700,46.81503
1701,45.59727
1702,43.64633
1703,39.88658
1704,36.47324
1705,34.28282
1706,33.85778
1707,34.20535
1708,36.53051
1709,39.30805
1710,39.12963
1711,32.77637
1712,17.38034
1713,7.11501
1714,2.75339
1715,0.79916
1716,0.11322
1717,-0.00547
1718,-0.00686
1719,0.23015
1720,13.91665
1721,41.37228
1722,48.6412
1723,45.05284
1724,42.47818
1725,41.22135
1726,37.25156
1727,35.20218
1728,33.56943
1729,32.522
1730,33.12774
1731,33.72779
1732,38.28575
1733,41.53724
1734,37.92697
1735,30.20973
1736,24.75538
1737,13.58615
1738,24.40035
1739,18.16419
1740,15.79132
1741,14.30528
1742,18.69006
1743,19.02593
1744,31.94565
1745,46.70542
1746,55.69647
1747,46.12852
1748,42.02344
1749,39.5596
1750,36.26874
1751,30.89535
1752,30.99814
1753,30.12698
1754,31.31425
1755,32.58055
1756,39.90367
1757,45.5854
1758,54.24925
1759,41.10011
1760,38.46143
1761,35.95497
1762,30.93578
1763,28.28979
1764,26.28905
1765,22.35773
1766,22.5137
1767,20.27516
1768,32.20834
1769,45.85587
1770,65.71918
1771,51.81287
1772,45.67018
1773,40.77984
1774,39.64309
1775,34.01661
1776,31.49146
1777,30.39437
1778,31.34292
1779,34.7873
1780,43.44428
1781,53.40368
1782,55.53832
1783,40.17469
1784,29.80471
1785,25.2336
1786,18.21805
1787,13.59033
1788,15.52591
1789,10.18936
1790,16.52748
1791,14.15497
1792,30.00381
1793,49.62155
1794,71.20646
1795,53.94587
1796,48.69845
1797,44.2273
1798,42.51369
1799,42.21746
1800,40.04343
1801,36.79155
1802,36.4825
1803,39.57891
1804,44.54
1805,61.88054
1806,59.08591
1807,39.26203
1808,36.03083
1809,31.31988
1810,28.93484
1811,27.36268
1812,27.98542
1813,27.91465
1814,30.38922
1815,31.9819
1816,34.17079
1817,50.92483
1818,66.90902
1819,58.10127
1820,50.55169
1821,42.66845
1822,40.3351
1823,38.6341
1824,35.08213
1825,33.67398
1826,33.80177
1827,36.72163
1828,43.44253
1829,53.72966
1830,56.52801
1831,41.50069
1832,34.43533
1833,32.01657
1834,25.52234
1835,24.24265
1836,24.6465
1837,23.93684
1838,26.76941
1839,25.40249
1840,29.57462
1841,45.17017
1842,60.33097
1843,47.99264
1844,44.93919
1845,40.92776
1846,38.04981
1847,34.90746
